Tweet,Reply
Always cool and classy 🔥🔥🔥Size 39__45Retailing at 4800We deliverDm or WhatsApp Daddy Owen Atwoli Bungoma Jiro… ,"  Good morning, I need one please"
" Personal I sell shoes online but sometimes customers usumbua,, imagine mtu anachunguza kiatu Hadi ananu… ",  Kiatu inaeza kua ilivaliwa na mtu wa Rugby 😂
New in town 🔥🔥Belonar In sizes 40__45At 4800/-We deliverMartha Karua Daddy Owen Ruaka Ferdinand Omanyala Ruff… , I need the brown ones. Inbox me.
Versace for your feet 🔥🔥Size 40__44Only 3700/-We deliverKalonzo Musyoka NHIF Alice Wahome #ForemanAmeomoka Ke… ,0721207052
" Fully online based,,, contact me 0721207052"," thanks i prefer visiting the site myself, i hate online biz"
Fly in the Air with Airmax 90Size 40__44Transacting at 3800/-Nationwide deliveryMwangi wa Iria Isaac Juma Mos… , Can we link up I need one urgently
Fly in the Air with Airmax 90Size 40__44Transacting at 3800/-Nationwide deliveryMwangi wa Iria Isaac Juma Mos… , where is your store located?
Fly in the Air with Airmax 90Size 40__44Transacting at 3800/-Nationwide deliveryMwangi wa Iria Isaac Juma Mos… , Nipatie namba..
New in town 🔥🔥Belonar In sizes 40__45At 4800/-We deliverMartha Karua Daddy Owen Ruaka Ferdinand Omanyala Ruff… , 0719580659 what's app me  I need the black ones
"Just Arrived!! PumaSize 40__45,, Kshs 3500Delivery availableFerdinand Omanyala Rufftone #EarthquakeInNakuru So… ", How much
Boost your drip with Addidas BoostSize 40__44Price 3700/-Country wide deliveryT-Mall Gachagua Tabitha Karanja… , Ntaka hii
Boost your drip with Addidas BoostSize 40__44Price 3700/-Country wide deliveryT-Mall Gachagua Tabitha Karanja… , Bei ya kuongea?
Boost your drip with Addidas BoostSize 40__44Price 3700/-Country wide deliveryT-Mall Gachagua Tabitha Karanja… , Want this
Boost your drip with Addidas BoostSize 40__44Price 3700/-Country wide deliveryT-Mall Gachagua Tabitha Karanja… ," How can i get the blue one, niko nairobi"
Boost your drip with Addidas BoostSize 40__44Price 3700/-Country wide deliveryT-Mall Gachagua Tabitha Karanja… , Nice kicks
New in town 🔥🔥Belonar In sizes 40__45At 4800/-We deliverMartha Karua Daddy Owen Ruaka Ferdinand Omanyala Ruff… , 
New in town 🔥🔥Belonar In sizes 40__45At 4800/-We deliverMartha Karua Daddy Owen Ruaka Ferdinand Omanyala Ruff… , Interested
"Just Arrived!! PumaSize 40__45,, Kshs 3500Delivery availableFerdinand Omanyala Rufftone #EarthquakeInNakuru So… ", Both gander????
"Just Arrived!! PumaSize 40__45,, Kshs 3500Delivery availableFerdinand Omanyala Rufftone #EarthquakeInNakuru So… ", Phone number
"Just Arrived!! PumaSize 40__45,, Kshs 3500Delivery availableFerdinand Omanyala Rufftone #EarthquakeInNakuru So… ",0721207052
Ladies got you sortedSize 36_42Kshs 3000/-0721207052Deputy President Daktari Moses Kuria Jaguar… , 0721207052
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… ," This will happen more and more as April-May approaches. Money has to be imported, laundered and/or inked. Kuna wasee engine hawatacampaign huku. "
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , This country is safe
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , Good move
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , Anti money laundering regulations working. Kudos to GoK agencies.
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Let's deal with the issue churches.
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , who deposits large stacks of money  they can't explain in banks
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Did he drink from the same cup that sonko did when he signed the papers that transfered the county government? Mululu is weeping
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , Bad laws that destroy confidence in our economy.
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… ," Must be illegal money, otherwise he would have had a reason in the 1st instance"
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , The AML law seems to be working.
Foreigner walks into a Nairobi Bank with $1M. Bank refuses to deposit the cash until he says where he got it from.… , Si angeweka kidogo kidogo yeye pia 😂
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Mudavadi is confused fellow. I suspect whatever things he eats. He is indeed an earthquake to himself
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Scatter and Gather 101They won't see it coming
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , It is the teachings of a religion that intoxicated him
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana.," He has exported that endless ceremony of principals to UDA.Fall out loading when reality sinks in that this a game of interests,but one should be realistic to know when he is swallowing or being swallowed."
That Kenyan terror suspect who was smoked out in DRC sat his KCSE in 2014 and scored an A- (minus). Eish bana., Natafta pia connections bana ...nipee number ya huyo jamaa tuongee
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Anakaanga m-innocent vizuuriiih!?…
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Aache ujinga!!!!!
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , The problem is that parents always assume that if you are good in studies everything is fine
"RIGATHI GACHAGUA: ""Uhuru is a lame duck President. No one in Mt. Kenya listens to him anymore.""ALSO RIGATHI GACHA… "," A thief with a case in court for robbing his county shamelessly addressing the president, kweli hii kenya ina mambo!!"
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Madimoni 2.0 loading …
"SUNDAY NATION: ""If a person is diagnosed with Cancer at KNH today, they will have to wait for six months to be plac… "," Very unfortunate, not yet uhuru😢"
"SUNDAY NATION: ""If a person is diagnosed with Cancer at KNH today, they will have to wait for six months to be plac… "," Whatever you do in this Country, try not to be poor."
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , kuna huyu dame she was the top in kcpe that year she went to State House girls his father ako na pesa she got D in her KCSE .all she wanted doing music but angetaka kufurahisha babake
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., it is a deal done. was legalized long time only paper work remaining.
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana.,  madimoni moment in the making
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Democracy unlike your side of bootylicking and fighting anyone who says you Baal ain't the automatic flagbearee
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana.," Coz he has realised that he made a blunder, his viability as a luhya kingpin is only viable if he is a presidential candidate, anything else n he will join wakoli bifwoli in hunting for the best local busaa dens."
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Vote for Prof George Wajackoyah
Swinging faster than a brothel door. , kenya's politics is about betrayal 
That Kenyan terror suspect who was smoked out in DRC sat his KCSE in 2014 and scored an A- (minus). Eish bana., Grades in school don't measure intelligence they measure memorization.
"SUNDAY NATION: ""The only functioning Cancer machine at the Kenyatta National Hospital (KNH) that was helping thousa… ", Sad state of the Nation!   Kenyans are watching
Swinging faster than a brothel door. , Eish..... that's a KO
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Achaneni na Musalia. Anajaribu kupunguza weight!.
That Kenyan terror suspect who was smoked out in DRC sat his KCSE in 2014 and scored an A- (minus). Eish bana., Smart terrorists
ON THIS DAY IN 2018: Three old men lost their way to Uhuru Park as they waited for a Nigerian phone number to call… ,   😁
"SUNDAY NATION: ""If a person is diagnosed with Cancer at KNH today, they will have to wait for six months to be plac… ", The health affairs of our great nation 
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., 😂😂😂
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Come on.........!!!we beta legalize it B4 we all end up I mental institutions.🤟
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., 😅😅
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., tell us what happened to Jimi Wanjigi wanting fair nominations at Chungwa house?
Speaker Justin Muturi has accused Ruto of stealing his slogan 'KENYA KWANZA' saying Ruto saw it on his billboard th… , You forgot to mention Atwoli's wife.
Mudavadi is in today's papers saying Ruto isn't the automatic Presidential Candidate for Kenya Kwanza Alliance. Legalize Marijuana., Hahahaha.. amebeba kuomba omba ile yake akapeleka huko.. ahahahaha
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , sikio la kufa..
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , Morals surpass education
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , That's sad
SUNDAY NATION says Mwangi Kiunjuri will be joining Ruto this week and he's running for Laikipia East MP. SUNDAY STA… , Who is this insulting oguda? You can't measure even an inch of oguda's intelligence.
NATION: The kid emerged top of his KCSE class at Agha Khan High. Admitted at JKUAT to study Engineering. Says he is… , This is not Islam at all  ..he is more of an enemy to me than any other being !!!
The Deputy President of the Republic of Kenya addressing his boss direct he's no longer going through the corners.… , When the gods want to destroy you they first turn you mad. Ruto has literally gone left.
"Last week, Mugoiri Girls High School suspended some students for ""grabbing extra portions of food"". Principal asked… ", Kudos to the parents for responding with the same energy.
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , bcoz the  meno is too kubwa
Tulikuambia status ni ya memes peke yake😂😂ona sasa tunajua nguo zako zote🤦🏽‍♂️,  😂😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Probably Mary forgot to swallow cum and a kid is growing in one of her teeth
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Amepatwa na mimba mdomoni mwake😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , because her taxin is too big
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Aki wooishe 😹😹😹😹😹😹😹😹😹😹😹
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because she's eaten alot of taxin😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 ,  ifb
Unaiba tweet ya mkamba...simu inaanguka inachimba shimo deep inajizika😂😂😂, 😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , She gives too much head..
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 ," "".....𝑰𝒔 𝒕𝒐𝒐𝒐𝒐𝒐𝒐𝒐 𝒃𝒊𝒈""...😝😝 "
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , No you have Ameloblastoma😅
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because her big is too teeth 😂😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Si alikuwa jaba ndio maana😂😂✌️
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because the mouth is to small
Tulikuambia status ni ya memes peke yake😂😂ona sasa tunajua nguo zako zote🤦🏽‍♂️, 😂
 😂😂😂😂😂we labda usimame juu ya meza, Fala😂
  dilit dis one 😂,  😂😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Wueh 😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Hii ni jaba
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Amejaza taxin
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Ooh no
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Mary has a big tooth😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because the tooth is too big 🤣😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Alikula shtick
  akina king kalala na  😂😂😂😂,   😂😂😂😠
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , We uko jaba 😅
   you mean dis😂😂😂👇👇 ,   Uyu ako jaba wewe
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Bkoz the dick is too big😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 ,  Her cheek is too big😂😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , 😂 
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Infection ya kiss😂😂😂
  akina king kalala na  😂😂😂😂,    Hao ni immortals 🤣🤣🤣
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Hii joke ni ya macoolkids😪😂😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because the tooth is stupid.
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , She has Tit ache
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because her tooth is too big
⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡ , Thiiitima 😂😂
Tulikuambia status ni ya memes peke yake😂😂ona sasa tunajua nguo zako zote🤦🏽‍♂️, Plus za kuomba😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 ,  Because she got married😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Hizo ni njuti 😂😂😂💔
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , 😂😂😂💔
  .,  Wazi joh 😂
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Her forehead is too big 😂😂😂😂
  uyu ameua mbu😂😂🤔mnaeza kamata yeye🤔🤔,  Heri Mimi... Huyu ameua... Ebu muulizeni kwenye alipeleka Ile nugu yake
😂 Mary has a tooth ache..who knows why 🤔🤣🤣🤣🤣😂😂👇👇 , Because the tooth is too big😂😂😂😂
uzuri sinaga akili, Na Gathuruari☺️
 aaaaaiiii not on time😂😂😂😂diliiiit , Nlichoka kungoja😂😂 
 , Just rewatched this show and EVERY CHARACTER in this show was perfectly cast. Truly one of the best 
 Glad you for the colorful one aren’t you?," In hindsight, yup 100%"
 Bellevue. Ola Petrol Station., Far
On the couch :😴In bed: 😳, Under the unsolved mysteries of this world
 Sawa., 😂😂
 … , 
 We learn something everyday 👍🏾, We do 🤝🤝
It’s basically a makeshift Faraday cage. , I didn't know that.
  Lol Bolt Foods only.,  😂😂
And it’s in. Sorry Comoros… ,Okay there’s hope no? Coz what a goal that was
🇰🇲 🇰🇲 🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲🇰🇲, Watapigwa kama burukenge.
 And always collected af! Dude doesn’t panic, Yeah 😄 🤣..unlike wendy
 Use an old toothbrush to clean around it. It’s probably grit stuck around it., That’s what I told  it just needs cleaning . It’s something I can do but all the cleaning stuff ziko home and I need it for work
How #Kenya7s line up against Australia , Did we win?
"KRU Championship: Big wins for Bulls, Machine as Kisumu draw - ", Nation wide results
#Kenya7s revive quarterfinal hopes with win over Canada - , Links?
Australia too good for Kenya 7s in Seville - ," I think the correct headline should be ""Kenya 7s too poor for Australia in Seville"""
"Central, Western nationwide standings after matchday 6 - ", Poor reporting! How did you miss Meru RFC?
#Kenya7s starting squad against Wales in Malaga , Iets go team kenya 🇰🇪🇰🇪🇰🇪
"It is that Mid-Week Quiz. A, B or C? ", Obviously B
  Hehe ulistua Sammy mpaka sai bado ajarecover. Lol,"  Kuna many other options like the 70mai A400 for front and rear at Kshs 10,999. "
   Kuliko ile kambi ingine ya VW guys lol.,   Eeeh 😂 wengine iko juu ni Mark…
"   Gatho, na mbona mtu wa Subaru with 300HP alichokozana.Cz the way that th… ",   😂😂😂 wanakuwanga na misplaced ego kidogoo 😂
   Haha wacha izo manze 1400HP Eh!,   Actually ata ni 1500+ 😅
 , 
  Umesema here I run like my legs carry my destiny.,   Run Helter skelter.
    One soldier dead...over and out.I repeat one soldier dead over.,    Hehe that was 5:years ago
 Well one sits back and thinks...A married woman who still finds men who are “bad news”. Including… , Because you have clothes doesn't mean you don't buy new ones
  Haha...well articulated 👌.,  👊
    Facts 💯.She lived with her parents for the better part of 0 to 20 y… ,    If you can teach a dog how to shop why not human?
  What about tounge piercings and nose rings?,  Very lethal plus naval piecing
  I seldom think that millionaires say out loud that they are millionaires.Especially on the Metaverse.,  These days a lot of millionaires are actually beta males that are too afraid of hurting feelings to announce their wealth online but as an alpha male I wear my net worth proudly on my sleeve. Not my fault if not everybody has the work ethic to make it big like me 🤷‍♂️🤵‍♂️
  ,"   Nope, have taken it from  and added Live, quote her."
  , 
 But it seems most stuff were done out of +254.," yup, SA has a wider variety or scope of offroad vehicles in terms of Parts,workmanship &amp; Craft generally. l"
