Tweet,Reply
Raila is good at making Kikuyus better than his own luo people. Today he wants to create a position for Uhuru 😂😂he'… , That's a lie coated with hatred because staircase was made to break the fall. Our President has said leadership must be given to other communities other than first 2 who have ruled Kenya since independence. Remove that spec in your eye Ruto offers nothing except thieving.
"Mudavadi and Wetang'ula are fighting to consolidate the region behind a single candidate. But Raila, through Oparan… ", How is  who has only 1 MP left with him fighting to unite Luhyas? He is a necked man. His other bearded sister  is busy seeking for what to put in his big stomach. They are only looking after their stomaches and personal interests.Luhya behind Baba!!
"Citizen TV viewers have said enough is enough of the bias and lies peddler. It was a slip of the keyboard, just und… ",  Anza yako
He delivered as -:Minister of CommunicationMinister of MarketingMinister of AgricultureMinister of Local govern… , I know you BOLD let this Presidency come to western Kenya . Other tribes too are able
"Have you noted politicians joining Kenya Kwanza nation are vocal, active, and happy. Eg Governor Waiguru and Mudava… ", It's the opposite my guy
He delivered as -:Minister of CommunicationMinister of MarketingMinister of AgricultureMinister of Local govern… ,  His undoing is absence of support.
It seems Moses Kuria is not mincing words for Raila's Azimio. Will azimio be a failed project? #HaslaNaMDVD ,  What is wrong if it fails? Everything is destined to succeed or fail.
"Citizen TV viewers have said enough is enough of the bias and lies peddler. It was a slip of the keyboard, just und… ", Go watch Nyota tv it airs ANC events
Mount Kenya Billionaires know what they want Raila to do for them if they plant him as president. Protect their que… , Master piece 💯💯
"Edwin Sifuna is evidently bitter about ANC and Ford-Kenya,UDA merger.Again,you can't dictate over right minds.ODM a… "," Regardless of how much you hate ODM and Azimio you can't prove UDAku and the two bearded sisters who married Ruto are better by saying Sifuna is bitter with them. You can't justify you are love because ""Sifuna is bitter"" with them. ""Sifuna's bitterness"" is not a quantifier."
When was the last time you heard Raila condemning wrong doings in the government??? This man has already shown us h… ,"  A New NGO has opened up and it's really Dominating the Country.BYL Organization is Looking for individuals who are in need of an extra income by Working Online  and earn between 4800-9600ksh Daily.For more info kindly Whatsapp us via 0731352997 with the word ""OPPORTUNITY 2022""."
#HaslaNaMDVD is a big force that can't be ignored.... that's why Azimio of looters feel threatened ,"  A New NGO has opened up and it's really Dominating the Country.BYL Organization is Looking for individuals who are in need of an extra income by Working Online  and earn between 4800-9600ksh Daily.For more info kindly Whatsapp us via 0731352997 with the word ""OPPORTUNITY 2022""."
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , The fact is that developments is what all Kenyans need currently and this is achievable  #HaslaNaMDVD
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , #HaslaNaMDVD will bring economic liberation in our country.These are the best leaders
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , And we need the perfect leaders who will work to make this a possibility #HaslaNaMDVD 
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , #HaslaNaMDVD have decided to work together for the betterment of our economy
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , #HaslaNaMDVD have been addressed issues to do with the current situation of our economy and how we can change things.
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , #HaslaNaMDVD will bring more developments in our country
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , Economic development  will be created when we decide  to vote for #HaslaNaMDVD
Economic development will need like minded people to come together and make sober decisions we trust #HaslaNaMDVD w… , #HaslaNaMDVD is the solution to our ailing Economy. 
 ,  Can we follow each other?
 ,   ifb
 ,  Fb
 ,  Please retweet my pinned tweet 🙏
 A New NGO has opened up and it's really Dominating the Country.BYL Organization is Looking for individ… ," A New NGO has opened up and it's really Dominating the Country.BYL Organization is Looking for individuals who are in need of an extra income by Working Online  and earn between 4800-9600ksh Daily.For more info kindly Whatsapp us via 0791423405 with the word ""OPPORTUNITY 2022""."
 A New NGO has opened up and it's really Dominating the Country .BYL Organization is Looking for indiv… ," A New NGO has opened up and it's really Dominating the Country .BYL Organization is Looking for individuals who are in need of an extra income by Working Online  and earn between 4800-9600ksh Daily.For more info kindly Whatsapp us via 0731352997 with the word ""OPPORTUNITY 2022""."
Senegal are playing Guinea tonight and this match has the best odds that you need to check at  need… ,  💯💯
Senegal are playing Guinea tonight and this match has the best odds that you need to check at  need… ,  🔥🔥
#BettingWithCrypto Day 2 of Afcon quarters is here and you need to bet on your best teams today.Remember… ,  🔥💯
#BettingWithCrypto Day 2 of Afcon quarters is here and you need to bet on your best teams today.Remember… ,  👌👌
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", The nation shall be in safe hands here This is great #MusaliaNaRuto
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", They are the best combination Kenya first #MusaliaNaRuto
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", #MusaliaNaRuto the people we are taking them to state house.
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", Choice has consequences and let's make it right #MusaliaNaRuto
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", Let's give our priorities to the real workers #MusaliaNaRuto
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", This time it's #MusaliaNaRuto and no one else. 
"Their partnership means a lot to the people of this country,competent leaders who will make sure this country has d… ", We must support them for being ready to serve kenyans. #MusaliaNaRuto 
"They have promised to revive the economy for us, the least we can do is give them a chance to do it#MusaliaNaRuto ", Two seconds guy 
"We know Raila is a state project..... the big question is, with whose money are they facilitating him.... we are po… ","  So because Raila is a state project,we should elect a corrupt one.Are we solving the problem.Let us elect someone new,we have other options."
They should stop hating on  and weta fir making a bold choice and saying no to being used as a step… ,   Where they went they will not be used?
"Kenya kwanza simply means the people come first, these leaders are in those positions because of us. To serve us, n… ","  A New NGO has opened up and it's really Dominating the Country.BYL Organization is Looking for individuals who are in need of an extra income by Working Online  and earn between 4800-9600ksh Daily.For more info kindly Whatsapp us via 0731352997 with the word ""OPPORTUNITY 2022""."
"We know Raila is a state project..... the big question is, with whose money are they facilitating him.... we are po… ",  only God can save us
We shoukd support the leadership of Governor Richard for he has better plans for county 047... He is visionary and… , Kemsa... covid millionaires
Comrades and youths have decided to stand firm with Governor Richard to ensure he transforms Nairobi into the best… , Kwanza arudishe pesa ya covid- kemsa
The only thing he uses to woo the public is seeking sympathy yet all he dose is betray anyone who helps him....bure… , as the general  usually says Azimio la utapeli😂
#AzimioOfLooters are now panicking and insulting  to divert attention na tunawajua. They have nothi… ,  Hawa wote ni walevi 😂😂😂😂
These two powerful leaders are sober minded and know what needs to be done to improve the country’s economic situat… , What do they know? Please tell us your fellow Kenyans. Hii ni nini Musalia na Dp wanajua that hawajajua all this time. How will they achieve hiyo uchumi bora?
"So does Ruto...they both want the same thing, improving the lives of a common mwananchi. Supporting their ideologie… ",You can't make someone look bad for choosing to work with someone you don't like..... Azimio la umoja members should just chill and give us a tangible reason we should see them fit for the government instead of turning people against focused partnerships #MsituchagulieMarafiki
